ID,Gen,Origin,CompositionSm,CompositionFe,Enthalpy,Volume,Density,Mag_moment,KPOINTS1,KPOINTS2,KPOINTS3,SYMM,Q_entr,A_order,S_order,magmom,magmom_pv,magmom_pa,energy_substance_pa
26,1,RandTop,1,12,-99.697,169.74599999999998,8.027000000000001,-0.136,2,3,4,1,0.223,2.471,1.765,23.085456,0.136,1.7758043076923078,0.34000000000000125
27,1,RandTop,1,12,-100.06700000000001,160.908,8.467,-0.134,2,3,4,1,0.19,2.271,1.754,21.561671999999998,0.134,1.6585901538461536,0.31153846153846243
28,1,RandTop,1,12,-100.427,165.838,8.216000000000001,-0.159,3,2,4,2,0.19899999999999998,2.23,1.693,26.368242,0.159,2.0283263076923075,0.28384615384615475
29,1,RandTop,1,12,-100.87700000000001,157.382,8.657,-0.165,3,3,3,1,0.193,2.295,1.7619999999999998,25.968030000000002,0.165,1.9975407692307694,0.24923076923076992
30,1,RandTop,1,12,-100.15899999999999,164.851,8.265,-0.132,3,3,3,1,0.21,2.225,1.6540000000000001,21.760332000000002,0.132,1.6738716923076924,0.3044615384615405
31,1,RandTop,1,12,-101.995,165.762,8.219,-0.158,2,3,3,10,0.198,2.783,2.081,26.190396,0.158,2.0146458461538463,0.16323076923077032
32,1,RandTop,1,12,-99.552,152.74200000000002,8.92,-0.047,3,2,4,6,0.16699999999999998,3.03,2.428,7.178874000000001,0.047,0.552221076923077,0.3511538461538471
33,1,RandTop,1,12,-101.351,160.76,8.475,-0.163,3,3,3,2,0.166,2.374,1.9,26.203879999999998,0.163,2.015683076923077,0.21276923076923226
34,1,RandTop,1,12,-102.616,163.576,8.329,-0.141,4,2,4,65,0.168,3.319,2.63,23.064216,0.141,1.7741704615384615,0.11546153846153992
35,1,RandTop,1,12,-99.434,165.64,8.225,-0.14400000000000002,3,3,2,1,0.237,2.162,1.4809999999999999,23.852159999999998,0.144,1.8347815384615382,0.36023076923077085
36,1,RandTop,1,12,-101.02600000000001,164.657,8.275,-0.15,3,2,3,1,0.21600000000000003,2.374,1.726,24.69855,0.15,1.8998884615384617,0.2377692307692314
37,1,RandTop,1,12,-100.645,159.319,8.552,-0.14300000000000002,3,2,4,1,0.19,2.2880000000000003,1.771,22.782616999999995,0.143,1.7525089999999997,0.2670769230769248
38,1,RandTop,1,12,-100.322,163.201,8.347999999999999,-0.16399999999999998,4,4,2,1,0.226,2.525,1.7790000000000001,26.764964,0.164,2.0588433846153844,0.2919230769230782
39,1,RandTop,1,12,-100.181,171.623,7.939,-0.15,3,3,2,1,0.2,2.27,1.713,25.74345,0.15,1.9802653846153846,0.3027692307692324
40,1,RandTop,1,12,-100.986,165.03799999999998,8.255,-0.165,4,4,2,8,0.21899999999999997,2.4930000000000003,1.808,27.23127,0.165,2.094713076923077,0.24084615384615496
41,1,RandTop,1,12,-97.742,143.046,9.525,-0.05,3,3,4,6,0.212,2.734,1.999,7.1523,0.05,0.5501769230769231,0.4903846153846165
42,1,RandTop,1,12,-100.91799999999999,161.577,8.432,-0.154,3,3,3,2,0.17800000000000002,2.271,1.805,24.882858,0.154,1.9140659999999998,0.2460769230769251
43,1,RandTop,1,12,-99.727,153.31799999999998,8.887,-0.155,4,2,3,6,0.22,2.6069999999999998,1.825,23.76429,0.155,1.8280223076923077,0.33769230769230885
44,1,RandTop,1,12,-100.78399999999999,166.31900000000002,8.192,-0.16699999999999998,4,3,2,1,0.182,2.406,1.89,27.775273000000006,0.167,2.1365594615384618,0.25638461538461743
45,1,RandTop,1,12,-100.235,166.264,8.195,-0.11900000000000001,3,3,3,1,0.18899999999999997,2.235,1.7409999999999999,19.785416,0.119,1.521955076923077,0.2986153846153861
46,1,RandTop,1,12,-100.32799999999999,166.155,8.2,-0.14300000000000002,4,4,2,8,0.21899999999999997,2.991,2.09,23.760164999999997,0.143,1.8277049999999997,0.29146153846154077
